Image,Nom,Nom complet,Position,Pied fort,Taille,Poid,Date de naissance,Lieu de naissance,Club
Inconnue,Saleh Al Abbas,Saleh bin Yahya bin Askar Dallabah Al Abbas,FW ,Right,177cm,,"    December 6, 1993    ","          in Najrān, Saudi Arabia      ",Al-Faisaly
https://fbref.com/req/202005121/images/headshots/718e2aea_2018.jpg,Walid Abbas,Walid Abbas Murad Yousuf Al-Balooshi,DF ,Right,182cm,74kg,"    June 11, 1985    ","          in Dubai, United Arab Emirates      ",Al Ahli
https://fbref.com/req/202005121/images/headshots/c9992e10_2018.jpg,Moein Abbasian,,FW,,,,"    August 18, 1989    ","          in Mashhad, Iran      ",SorkhPooshan FC
https://fbref.com/req/202005121/images/headshots/26c6e4ce_2018.jpg,Mohammad Abbaszadeh,,FW ,Left,184cm,,"    May 9, 1990    ","          in Kīā Kolā, Iran      ",Teraktor Sazi
Inconnue,Carsten Abbes,Carsten Abbes,DF,,,,,,VfB Oldenburg
Inconnue,Jonas Abbew,Jonas Jensen Abbew,DF,,,,"    April 20, 2002    ",,Nordsjælland
https://fbref.com/req/202005121/images/headshots/33f40a36_2018.jpg,Nelson Abbey,,DF,,,,"    August 28, 2003    ","          in England, United Kingdom      ",Reading
Inconnue,Said Abbey,,FW,,,,"    April 16, 2004    ",,Werder Bremen
https://fbref.com/req/202005121/images/headshots/c2304da8_2018.jpg,Hatem Abd Elhamed,,DF ,89% Right,188cm,80kg,"    March 18, 1991    ","          in Kafr Mandā, Israel      ",Hapoel Be'er Sheva
Inconnue,Faris Abdalla,,DF ,Left,175cm,,"    February 19, 1994    ",          in Sudan      ,Al-Hilal Club
https://fbref.com/req/202005121/images/headshots/6c9e46b5_2018.jpg,Harib Abdalla,Harib Abdalla Suhail Al Musharrkh Al Maazmi,MF,,172cm,62kg,"    November 26, 2002    ",,Al Ahli
Inconnue,Abdel Abdallah,Abdel-Hakim_Abdallah,DF,,170cm,68kg,"    August 18, 1997    ","          in Troyes, France      ",Grenoble
https://fbref.com/req/202005121/images/headshots/13a0ff99_2018.jpg,Basit Abdallah,,MF ,Right,180cm,71kg,"    October 15, 1999    ",,Benevento
https://fbref.com/req/202005121/images/headshots/fe8b7048_2018.jpg,Hakim Abdallah,,FW ,Right,180cm,75kg,"    January 9, 1998    ","          in Saint-Leu-la-Forêt, France      ",Lierse Kempenzonen
https://fbref.com/req/202005121/images/headshots/f64a8aee_2018.jpg,Hamad Al Abdan,Hamad bin Abdan bin Turki Al Abdan,MF,,,,"    May 26, 2000    ",,Al Hazm
Inconnue,Nicolas Abdat,,DF,,,,"    November 29, 1996    ",,Oss
https://fbref.com/req/202005121/images/headshots/c248bc9e_2018.jpg,Baha' Abdel-Rahman,Baha' Abdel-Rahman Suleiman,MF (CM) ,Right,178cm,69kg,"    January 5, 1987    ","          in Amman, Jordan      ",Al-Nasr SC
https://fbref.com/req/202005121/images/headshots/2e95b10e_2018.jpg,Ahmed Abdel-Sattar,Ahmed Abdel-Sattar Nawwas,GK ,Right,190cm,80kg,"    July 6, 1984    ","          in Amman, Jordan      ",Al-Wehdat SC
https://fbref.com/req/202005121/images/headshots/f948de7f_2018.jpg,Mohamed Abdel-Shafy,,"DF (FB, left) ",Left,179cm,75kg,"    July 1, 1985    ","          in Cairo, Egypt      ",Zamalek
Inconnue,Nehal Abdelaziz,Nehal Mamdouh Aly Abdelaziz,DF,,,,"    April 18, 1978    ","          in Dubai, United Arab Emirates      ",
https://fbref.com/req/202005121/images/headshots/32c2d95f_2018.jpg,Yunis Abdelhamid,,"DF (CB, left) ",70% Left,190cm,84kg,"    September 28, 1987    ","          in Montpellier, France      ",Reims
https://fbref.com/req/202005121/images/headshots/76250bac_2018.jpg,Ayoub Abdellaoui,,DF,,175cm,71kg,"    February 16, 1993    ","          in Reghaïa, Algeria      ",Al-Ettifaq
Inconnue,Himad Abdelli,,MF,,179cm,75kg,"    November 17, 1999    ","          in Montivilliers, France      ",Le Havre
https://fbref.com/req/202005121/images/headshots/5fc9e63b_2018.jpg,Maaz Abdelraheem,Maaz Abdelraheem Gismalla,MF,,180cm,,"    April 25, 1989    ",,Al Khartoum SC
https://fbref.com/req/202005121/images/headshots/b489e9a2_2018.jpg,Mohamed Abdelrahman,Mohamed Abdelrahman Yousif Yagoub,FW,,175cm,,"    July 10, 1993    ",,Al-Hilal Club
https://fbref.com/req/202005121/images/headshots/b4be2a66_2018.jpg,Farid Abderrahmane,Farid Abderrahmane,MF,,182cm,,"    February 17, 1996    ",,Lokomotive Leipzig
https://fbref.com/req/202005121/images/headshots/084b7286_2018.jpg,Houssen Abderrahmane,,DF,,186cm,72kg,"    February 3, 1995    ","          in Creil, France      ",Francs Borains
Inconnue,Aland Abdi,Aland Abdi,FW,,,,"    May 5, 2005    ",,Alemannia Aachen
Inconnue,Ali Abdi,,DF-MF ,Left,178cm,71kg,"    December 20, 1993    ","          in Sfax, Tunisia      ",Caen
Inconnue,Hamza Abdi,,MF,,164cm,65kg,"    December 16, 1991    ","          in Djibouti, Djibouti      ",AS Port
Inconnue,Nasradine Abdi,,GK ,Right,181cm,67kg,"    June 5, 1994    ","          in Djibouti, Djibouti      ",AS Port
https://fbref.com/req/202005121/images/headshots/99480fb1_2018.jpg,Amir Abdijanovic,,FW ,Both,180cm,70kg,"    March 3, 2001    ","          in Dornbirn, Austria      ",Rheindorf Altach
Inconnue,Sajjad Abdoei,Sajjad Abdoei,FW ,Left,183cm,,"    November 9, 1995    ","          in Omīdīyeh, Iran      ",Fajr Sepasi FC
Inconnue,Ali Abdollahzadeh,,DF (WM),,,,"    January 4, 1993    ","          in Ābādān, Iran      ",Naft Masjed Soleyman FC
https://fbref.com/req/202005121/images/headshots/5b7a0657_2018.jpg,Nadjim Abdou,,MF ,Right,178cm,70kg,"    July 13, 1984    ","          in Martigues, France      ",FC Martigues
https://fbref.com/req/202005121/images/headshots/a5e6ee96_2018.jpg,Boureima Abdoulaye Katakoré,Boureima Abdoulaye Katakoré Amadou,DF,,,,"    March 26, 1993    ","          in Niamèy, Niger      ",AS Douanes
https://fbref.com/req/202005121/images/headshots/de63d77a_2018.jpg,Issah Abdoulaye,Issah Abdoulaye Salou,MF,,,,"    February 4, 1999    ",,Randers
Inconnue,Younes El Abdouni,Younes El Abdouni,MF,,,,,,Wuppertaler
https://fbref.com/req/202005121/images/headshots/56814550_2018.jpg,Temurkhuja Abdukholiqov,,FW,,187cm,82kg,"    September 25, 1991    ","          in Toshkent Shahri, Uzbekistan      ",Lokomotiv Tashkent FK
Inconnue,Issahaku Abdul Fatawu,Issahaku Abdul Fatawu,MF,,,,"    March 8, 2004    ",,
Inconnue,Ismail Abdul Ganiyu,Ismail Abdul Ganiyu,DF,,,,"    June 12, 1996    ",,Asante Kotoko SC
https://fbref.com/req/202005121/images/headshots/0cc8ebf1_2018.jpg,Akram Abdul Ghanee,,DF,,170cm,60kg,"    March 19, 1987    ",          in Maldives      ,Club Eagles
https://fbref.com/req/202005121/images/headshots/f78f443e_2018.jpg,Fiston Abdul Razak,,FW ,Both,175cm,76kg,"    September 5, 1991    ","          in Bujumbura, Burundi      ",Olympique Khouribga
Inconnue,Sahal Abdul Samad,,MF,,176cm,70kg,"    April 1, 1997    ","          in Abu Dhabi, United Arab Emirates      ",Kerala Blasters
https://fbref.com/req/202005121/images/headshots/82464ce3_2018.jpg,Salis Abdul Samed,,MF ,91% Right,180cm,,"    March 26, 2000    ",,Clermont Foot
https://fbref.com/req/202005121/images/headshots/67e4f0e4_2018.jpg,Eric Abdul,,GK,,180cm,82kg,"    February 25, 1986    ","          in Oranjestad, Aruba      ",SV Racing Club Aruba
https://fbref.com/req/202005121/images/headshots/b2269c6f_2018.jpg,Mohannad Abdul-Raheem,Mohannad Abdul-Raheem Karrar,FW,,182cm,77kg,"    September 22, 1993    ","          in Baghdad, Iraq      ",Al-Zawra'a SC
Inconnue,Hamid Abdul-Salam,Hamid Abdul-Salam,DF,,,,"    October 19, 2003    ","          in England, United Kingdom      ",Reading
https://fbref.com/req/202005121/images/headshots/b60d8a3b_2018.jpg,Alaa Abdul-Zahra,Alaa Abdul-Zahra Khashan Al-Azzawi,FW-MF (AM) ,Both,173cm,80kg,"    December 22, 1987    ","          in Baghdad, Iraq      ",Al-Zawra'a SC
https://fbref.com/req/202005121/images/headshots/104fd331_2018.jpg,Sulaiman Abdulghafoor,Sulaiman Abdulghafoor Abdellathif Mohammed Abdulghafoor,GK,,183cm,,"    February 26, 1991    ",          in United Arab Emirates      ,Al-Arabi SC
Inconnue,Fatema Abdulhameed Isa,Fatema Abdulhameed Husain Isa,DF,,,,"    December 14, 1990    ",,
https://fbref.com/req/202005121/images/headshots/caa254e4_2018.jpg,Saud Abdulhamid,Saud bin Abdullah bin Salem Abdulhamid,"DF (FB, right)",,171cm,69kg,"    July 18, 1999    ",,Al Ittihad Jeddah
https://fbref.com/req/202005121/images/headshots/49db20fd_2018.jpg,Abdumavlon Abduljalilov,Abdumavlon Abduqodir oʻgʻli Abduljalilov,GK,,184cm,78kg,"    December 22, 1994    ",,Lokomotiv Tashkent FK
Inconnue,Shareef Abdulkadhim,Shareef Abdulkadhim Masabih Al Imari,MF,,,,"    June 7, 1996    ",,Al-Quwa Al-Jawiya
https://fbref.com/req/202005121/images/headshots/ac84221a_2018.jpg,Ahmed Abdulla,,DF,,173cm,80kg,"    March 11, 1987    ",          in Maldives      ,Riffa SC
https://fbref.com/req/202005121/images/headshots/82a8f1e9_2018.jpg,Areefa Abdulla,,MF,,,,"    June 14, 2001    ",,
https://fbref.com/req/202005121/images/headshots/7c2f70a8_2018.jpg,Asadhulla Abdulla,,FW,,177cm,75kg,"    October 19, 1990    ",,Maziya S&RC
Inconnue,Mohammad Abdullah,,MF,,,,"    October 16, 1997    ","          in Sirajganj, Bangladesh      ",Sheikh Russel KC
https://fbref.com/req/202005121/images/headshots/aec6d2a5_2018.jpg,Waleed Abdullah,Waleed Abdullah Ali,GK ,Right,196cm,75kg,"    April 19, 1986    ","          in Riyadh, Saudi Arabia      ",Al Nasr (KSA)
https://fbref.com/req/202005121/images/headshots/7ecc9dee_2018.jpg,Shehu Abdullahi,,DF-MF ,Right,178cm,75kg,"    March 12, 1993    ","          in Sokoto, Nigeria      ",AC Omonia
https://fbref.com/req/202005121/images/headshots/76b4033a_2018.jpg,Ismail Abdullatif,,FW-MF,,182cm,74kg,"    September 11, 1986    ","          in Al Muharraq, Bahrain      ",Al-Muharraq SC
Inconnue,Mustafa Abdullatif,,MF,,,,"    December 15, 2003    ",,Hertha BSC
https://fbref.com/req/202005121/images/headshots/db265666_2018.jpg,Araz Abdullayev,Araz Abdulla oğlu Abdullayev,MF ,Right,180cm,77kg,"    April 18, 1992    ","          in Baku City, Azerbaijan      ",
Inconnue,Sakariye Abdulle,Sakariye Abdulle,DF,,,,"    January 1, 2006    ",,Leverkusen
Inconnue,Aysha Abdulrahman,Aysha Abdulrahman Ahmad Gheyath,DF,,,,"    May 18, 2005    ","          in Dubai, United Arab Emirates      ",
https://fbref.com/req/202005121/images/headshots/64cd80c8_2018.jpg,Fahad Al-Abdulrahman,,DF ,Left,164cm,63kg,"    April 6, 1995    ",          in Qatar      ,Al Arabi
https://fbref.com/req/202005121/images/headshots/ef8e0e73_2018.jpg,Omar Abdulrahman,,FW-MF (AM-WM) ,Left,173cm,60kg,"    September 20, 1991    ","          in Al Ain, United Arab Emirates      ",Al Ahli
https://fbref.com/req/202005121/images/headshots/464457a6_2018.jpg,Shahin Abdulrahman,,DF,,183cm,82kg,"    November 16, 1992    ",          in United Arab Emirates      ,
https://fbref.com/req/202005121/images/headshots/cf50eb7a_2018.jpg,Abdullah Abdulsalam,Abdullah Abdulsalam Ali Al Ahrak,MF,,175cm,71kg,"    May 10, 1997    ","          in Doha, Qatar      ",Al Duhail SC
https://fbref.com/req/202005121/images/headshots/431a8091_2018.jpg,Mohamed Abdulwahab,Mohamed Abdulwahab Ahmed Shaban,MF,,,,"    November 13, 1989    ",,Hidd SCC
https://fbref.com/req/202005121/images/headshots/6f14d0d1_2018.jpg,Odiljon Abdurakhmanov,,MF,,174cm,67kg,"    March 18, 1996    ",          in Kyrgyzstan      ,PFK Bunyodkor-2
https://fbref.com/req/202005121/images/headshots/13c8f40b_2018.jpg,Yusuf Abdurisag,Yusuf Abdurisag Yusuf,FW,,175cm,74kg,"    August 6, 1999    ",,Al Sadd
Inconnue,Farid Abdvis Zadeh,Farid Abdvis Zadeh,MF,,,,,,Arminia
https://fbref.com/req/202005121/images/headshots/bfef5c87_2018.jpg,Nawaf Al Abed,Nawaf Shaker Al-Abed,FW-MF (AM) ,Left,168cm,59kg,"    January 26, 1990    ","          in Riyadh, Saudi Arabia      ",Al Shabab (KSA)
https://fbref.com/req/202005121/images/headshots/375d09c9_2018.jpg,Amir Abedzadeh,,GK ,Right,185cm,80kg,"    April 26, 1993    ","          in Tehran, Iran      ",Ponferradina
https://fbref.com/req/202005121/images/headshots/bbe88396_2018.jpg,Aly Abeid,Yacoub Aly Abeid,DF,,174cm,80kg,"    December 11, 1997    ",          in Arafat      ,Valenciennes
https://fbref.com/req/202005121/images/headshots/4c07f0e8_2018.jpg,Anicet Abel,Anicet Andrianantenaina Abel,FW-MF ,84% Right,179cm,75kg,"    March 13, 1990    ","          in Antananarivo, Madagascar      ",
https://fbref.com/req/202005121/images/headshots/ab208991_2018.jpg,Katrine Abel,,GK,,,,"    June 28, 1990    ",,
Inconnue,Manuel Abele,Manuel Abele,MF,,,,"    February 8, 2005    ",,Heidenheim
https://fbref.com/req/202005121/images/headshots/93f24791_2018.jpg,José Abella,José Javier Abella Fanjul,"DF (FB, right)",,175cm,71kg,"    February 10, 1994    ","          in Córdoba, Estado de Veracruz-Llave, Mexico      ",Atlas
https://fbref.com/req/202005121/images/headshots/3c3bd200_2018.jpg,Dirk Abels,,"DF (FB, right)",,179cm,75kg,"    June 13, 1997    ",          in Netherlands      ,Sparta Rotterdam
https://fbref.com/req/202005121/images/headshots/8c6239f2_2018.jpg,Myenty Abena,,DF ,Right,191cm,70kg,"    December 12, 1994    ","          in Paramaribo, Suriname      ",ŠK Slovan Bratislava
https://fbref.com/req/202005121/images/headshots/31626657_2018.jpg,Laurent Abergel,,"DF-MF (CM-FB, left) ",91% Right,170cm,65kg,"    February 1, 1993    ","          in Marseille, France      ",Lorient
Inconnue,Abdallah Aberkane,,DF,,,,"    May 5, 2000    ",,Excelsior
https://fbref.com/req/202005121/images/headshots/469d3d84_2018.jpg,Charles Abi,Charles Nathan Abi,FW ,85% Left,187cm,73kg,"    April 12, 2000    ","          in Clermont-Ferrand, France      ",Guingamp
https://fbref.com/req/202005121/images/headshots/cadd666a_2018.jpg,Dickson Abiama,,FW ,Both,184cm,79kg,"    November 3, 1998    ","          in Lagos, Nigeria      ",Greuther Fürth
https://fbref.com/req/202005121/images/headshots/ce566fae_2018.jpg,Aýbol Abïken,,MF,,187cm,68kg,"    June 1, 1996    ",,FC Kairat
https://fbref.com/req/202005121/images/headshots/8f5cdf66_2018.jpg,Oliver Abildgaard,,MF ,Left,175cm,66kg,"    June 10, 1996    ","          in Hasseris, Denmark      ",Rubin Kazan
https://fbref.com/req/202005121/images/headshots/46f75f0c_2018.jpg,Teresa Abilleira,Teresa Abilleira Dueñas,MF,,,,"    January 9, 2000    ",,Real Madrid CF Femenino
Inconnue,Melissa Abiral,,GK,,,,"    July 18, 1994    ",,St. Pölten
https://fbref.com/req/202005121/images/headshots/d90b6ae9_2018.jpg,Zuleira Abisheva,,MF,,,,"    July 4, 1997    ","          in Kazakhstan, Kazakhstan      ",
Inconnue,Terry Ablade,,FW,,,,"    October 12, 2001    ","          in Accra, Ghana      ",Fulham
Inconnue,Tristan Abldeen Goodridge,Tristan Abldeen Goodridge,MF,,,,"    December 15, 2003    ","          in England, United Kingdom      ",Aston Villa
Inconnue,Matthis Abline,Matthis Abline,FW,,,,"    March 5, 2003    ","          in Angers, France      ",Rennes
Inconnue,Matthis Abline,Matthis  Abline,FW ,Right,176cm,64kg,"    March 28, 2003    ","          in Angers, France      ",Rennes
Inconnue,Nora Abo Shanab,,DF,,,,"    December 9, 1987    ",,Kiryat Gat
Inconnue,Mazen Abo Shararah,,FW,,176cm,73kg,"    February 27, 1991    ",          in Saudi Arabia      ,Damac F.C.
https://fbref.com/req/202005121/images/headshots/8ee9191e_2018.jpg,Clifford Aboagye,,MF (AM) ,Right,167cm,55kg,"    February 11, 1995    ","          in Accra, Ghana      ",Puebla
https://fbref.com/req/202005121/images/headshots/a1f0c837_2018.jpg,Phillip Aboagye,,DF,,,,"    January 16, 2000    ",,Wuppertaler
Inconnue,Ali Aboeshren,Ali Abdalla Aboeshren,GK,,180cm,,"    December 6, 1989    ",,Al-Hilal Club
Inconnue,Ken Aboh,Ken Aboh,MF,,,,"    November 9, 2004    ","          in England, United Kingdom      ",Norwich City
https://fbref.com/req/202005121/images/headshots/8bc373ea_2018.jpg,Pape Abou Cisse,,DF (CB) ,63% Right,197cm,83kg,"    September 14, 1995    ","          in Pikine, Senegal      ",Olympiacos
Inconnue,Sudi Aboubacar,Sudi Jules Aboubacar,MF,,,,,,Fortuna Köln
Inconnue,Vincent Aboubakar,Vincent Paté Aboubakar,FW ,Right,184cm,82kg,"    January 22, 1992    ","          in Yaoundé, Cameroon      ",Al Nasr (KSA)
https://fbref.com/req/202005121/images/headshots/9bf54a3b_2018.jpg,Abdulrahman Al-Aboud,,MF,,174cm,,"    June 1, 1995    ",          in Saudi Arabia      ,Al Ittihad Jeddah
https://fbref.com/req/202005121/images/headshots/c2a6033c_2018.jpg,Zakaria Aboukhlal,,FW ,Both,179cm,72kg,"    February 18, 2000    ","          in Rotterdam, Netherlands      ",AZ Alkmaar
Inconnue,Ahmed Aboul-Fotouh,,DF ,Left,,,"    March 22, 1998    ","          in Cairo, Egypt      ",Zamalek
https://fbref.com/req/202005121/images/headshots/8ca1a8cd_2018.jpg,Mohammed Abousaban,,MF (CM) ,Right,176cm,74kg,"    January 20, 1990    ","          in Al Hufūf, Saudi Arabia      ",Al-Taawon
Inconnue,Abdelkabir Abqar,,DF ,Right,188cm,80kg,"    March 10, 1999    ",,Alavés
Inconnue,Meshack Abraham,Meshack Abraham Mwamita,FW,,,,"    June 5, 1995    ",,
https://fbref.com/req/202005121/images/headshots/fd99de9d_2018.jpg,Paulos Abraham,,FW,,176cm,62kg,"    July 16, 2002    ","          in Solna, Sweden      ",Groningen
https://fbref.com/req/202005121/images/headshots/f586779e_2018.jpg,Tammy Abraham,,FW ,91% Right,190cm,82kg,"    October 2, 1997    ","          in Camberwell, England, United Kingdom      ",Roma
Inconnue,Timmy Abraham,,FW,,185cm,77kg,"    December 28, 2000    ","          in England, United Kingdom      ",Newport County
https://fbref.com/req/202005121/images/headshots/ab130e74_2018.jpg,Kurt Abrahams,,FW-MF,,165cm,,"    December 30, 1996    ","          in Cape Town, South Africa      ",K.M.SK Deinze
https://fbref.com/req/202005121/images/headshots/cfd667ae_2018.jpg,Tristan Abrahams,,FW,,175cm,70kg,"    December 29, 1998    ","          in Lewisham, England, United Kingdom      ",Carlisle United
https://fbref.com/req/202005121/images/headshots/80f45e75_2018.jpg,Sejde Abrahamsson,,MF,,,,"    January 24, 1998    ",          in Sweden      ,Napoli
https://fbref.com/req/202005121/images/headshots/1f462f95_2018.jpg,Luis Abram,,DF (CB) ,Left,181cm,76kg,"    February 27, 1996    ","          in Lima, Peru      ",Granada
Inconnue,Dawid Abramowicz,,DF,,185cm,71kg,"    May 16, 1991    ","          in Brzeg Dolny, Poland      ",Radomiak Radom
Inconnue,Dawid Abramowicz,,DF,,185cm,71kg,"    May 16, 1991    ","          in Brzeg Dolny, Poland      ",Radomiak Radom
https://fbref.com/req/202005121/images/headshots/1c08a3c8_2018.jpg,Amir Abrashi,,MF (CM-DM) ,93% Right,172cm,72kg,"    March 27, 1990    ","          in Bischofszell, Switzerland      ",Grasshoppers
Inconnue,Kelvin Abrefa,Kelvin Abrefa,MF,,,,(Date unknown),"          in England, United Kingdom      ",Reading
Inconnue,Victor Abrego,,MF,,,,"    February 11, 1997    ",,Bolívar
Inconnue,Cedric Abresch,Cedric Abresch,MF,,,,,,Fortuna Köln
Inconnue,Fábio Abreu,Fábio Gonçalves Abreu,FW ,Right,182cm,79kg,"    January 29, 1993    ","          in England, United Kingdom      ",Al-Batin
Inconnue,Rolando Abreu,Rolando Domingo Abreu Canela,MF,,170cm,66kg,"    May 15, 1992    ","          in Santiago de Cuba, Cuba      ",
Inconnue,Amir Absalem,,"DF (FB, left)",,,,"    June 19, 1997    ",          in Netherlands      ,Roda JC
Inconnue,Khalil Al Absi,Khalil bin Ibrahim bin Yahya Al Absi,FW,,,,"    May 28, 2001    ",,Al Nasr (KSA)
https://fbref.com/req/202005121/images/headshots/7c51bea4_2018.jpg,Friederike Abt,,GK,,178cm,,"    July 7, 1994    ","          in Bielefeld, Germany      ",Leverkusen
https://fbref.com/req/202005121/images/headshots/2a299643_2018.jpg,Radanfah Abu Bakr,,DF (CB) ,Right,193cm,93kg,"    February 12, 1987    ","          in Port of Spain, Trinidad and Tobago      ",
Inconnue,Mohammad Abu Fani,,MF,,,,"    April 27, 1998    ",,Maccabi Haifa
Inconnue,Mohamed Abu Gabal,Mohamed Kotb Abu Gabal Ali,GK ,Right,191cm,,"    January 29, 1989    ",,Zamalek
https://fbref.com/req/202005121/images/headshots/c603091a_2018.jpg,Joel Abu Hanna,,DF (CB) ,Left,184cm,74kg,"    January 22, 1998    ","          in Hennef (Sieg), Germany      ",Legia Warsaw
https://fbref.com/req/202005121/images/headshots/a66df03a_2018.jpg,Rawad Abu Khizaran,Rawad Ahmed Ibrahim Abu Khizaran,FW-MF,,,,"    July 13, 1991    ","          in Amman, Jordan      ",
https://fbref.com/req/202005121/images/headshots/4e94bb06_2018.jpg,Sarah Abu Sabbah,,FW,,170cm,,"    October 27, 1999    ","          in Düsseldorf, Germany      ",Borussia Mönchengladbach
https://fbref.com/req/202005121/images/headshots/64669fc9_2018.jpg,Hafiz Abu Sujad,Muhammad Hafiz bin Abu Sujad,"DF-MF (FB-WM, left) ",Left,169cm,65kg,"    November 1, 1990    ","          in Singapore, Singapore      ",Hougang United FC
Inconnue,Francis Abu,,MF,,183cm,72kg,"    April 27, 2001    ",,Nordsjælland
https://fbref.com/req/202005121/images/headshots/7f747d5b_2018.jpg,Tasneem Abu-Rob,Tasneem Yasin Abdel-Rahman Abu-Rob,MF,,170cm,,"    November 14, 2000    ","          in Amman, Jordan      ",
https://fbref.com/req/202005121/images/headshots/903c5b02_2018.jpg,Naim Abuaker,Naim Rafat Naim Abuaker,GK ,Left,182cm,78kg,"    January 20, 1995    ",,Al Ahli SC Al Khaleel
Inconnue,Yousef Abualjazar,Yousef Mohammad Salem Abualjazar,DF,,,,"    October 25, 1999    ",,Al-Ramtha SC
Inconnue,Mohamad Abuaseedh,Mohamad bin Omar bin Mustafa Abuaseedh,GK,,,,"    June 29, 2000    ",,Al Ittihad Jeddah
https://fbref.com/req/202005121/images/headshots/f6edb4c2_2018.jpg,Asumah Abubakar,,FW ,Right,183cm,70kg,"    May 10, 1997    ","          in Kumasi, Ghana      ",Lugano
https://fbref.com/req/202005121/images/headshots/7490867e_2018.jpg,Salum Abubakar,,MF,,,,"    August 26, 1992    ","          in Lindi, Tanzania      ",Azam FC
Inconnue,Malik Abubakari,Abdul Malik Abubakari,FW ,Right,185cm,79kg,"    May 10, 2000    ","          in Accra, Ghana      ",Malmö
Inconnue,Ahmed Abukhadija,Ahmed Ali Ibrahim Abukhadija,MF,,,,"    January 16, 1996    ",,
https://fbref.com/req/202005121/images/headshots/5d11fc17_2018.jpg,Yazeed Abulaila,Yazeed Mo'ien Hasan Abulaila,GK,,190cm,83kg,"    January 6, 1993    ","          in Zarqa, Jordan      ",Al-Faisaly SC
Inconnue,Mohammed Abumayyala,Mohammed Nidal Mohammed Abumayyala,DF ,Right,170cm,67kg,"    February 19, 1995    ","          in Jerusalem, Israel      ",Hilal Al-Quds Club
https://fbref.com/req/202005121/images/headshots/27e7e545_2018.jpg,Mahmoud Abunada,Mahmoud Ibrahim Mahmoud Abunada,GK,,,,"    February 5, 2000    ","          in Doha, Qatar      ",Al Arabi
https://fbref.com/req/202005121/images/headshots/0921a46c_2018.jpg,Giorgi Aburjania,,MF,,187cm,,"    January 2, 1995    ","          in K'alak'i T'bilisi, Georgia      ",Gil Vicente
